
2025/02/15 (13:53:15) | ===> btop++ v.1.4.0
2025/02/15 (13:53:15) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/15 (13:53:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/15 (13:53:15) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/15 (13:53:15) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/15 (13:53:15) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/15 (15:26:09) | ===> btop++ v.1.4.0
2025/02/15 (15:26:09) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/15 (15:26:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/15 (15:26:09) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/15 (15:26:09) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/15 (15:26:09) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/15 (15:37:31) | ===> btop++ v.1.4.0
2025/02/15 (15:37:31) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/15 (15:37:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/15 (15:37:31) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/15 (15:37:31) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/15 (15:37:31) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/15 (18:30:20) | ===> btop++ v.1.4.0
2025/02/15 (18:30:20) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/15 (18:30:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/15 (18:30:20) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/15 (18:30:20) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/15 (18:30:20) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/16 (13:27:55) | ===> btop++ v.1.4.0
2025/02/16 (13:27:55) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/16 (13:27:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/16 (13:27:55) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/16 (13:27:55) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/16 (13:27:55) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/16 (14:23:06) | ===> btop++ v.1.4.0
2025/02/16 (14:23:06) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/16 (14:23:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/16 (14:23:06) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/16 (14:23:06) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/16 (14:23:06) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/16 (14:29:55) | ===> btop++ v.1.4.0
2025/02/16 (14:29:55) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/16 (14:29:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/16 (14:29:55) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/16 (14:29:55) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/16 (14:29:55) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/18 (22:22:28) | ===> btop++ v.1.4.0
2025/02/18 (22:22:28) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/18 (22:22:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/18 (22:22:28) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/18 (22:22:28) | WARNING: ROCm SMI: Failed to get GPU power usage
